Entity,Code,Year,Energy consumption per capita (kWh)
Africa,,1965,2178.897737
Africa,,1966,2234.789825
Africa,,1967,2197.197691
Africa,,1968,2259.624226
Africa,,1969,2255.869649
Africa,,1970,2397.690303
Africa,,1971,2539.448806
Africa,,1972,2623.516592
Africa,,1973,2766.732428
Africa,,1974,2823.652083
Africa,,1975,2909.251397
Africa,,1976,3099.619284
Africa,,1977,3171.160508
Africa,,1978,3202.707705
Africa,,1979,3414.32751
Africa,,1980,3564.592414
Africa,,1981,3858.537957
Africa,,1982,4004.825517
Africa,,1983,3998.216325
Africa,,1984,4013.492155
Africa,,1985,4053.058165
Africa,,1986,4034.591552
Africa,,1987,4043.287017
Africa,,1988,4216.725565
Africa,,1989,4114.843068
Africa,,1990,4136.531791
Africa,,1991,4024.448073
Africa,,1992,3986.86922
Africa,,1993,3899.727159
Africa,,1994,3913.763868
Africa,,1995,3971.043852
Africa,,1996,3977.007279
Africa,,1997,3954.684129
Africa,,1998,3919.000029
Africa,,1999,3940.682655
Africa,,2000,3936.853147
Africa,,2001,3992.775149
Africa,,2002,3940.405092
Africa,,2003,4028.275804
Africa,,2004,4212.244675
Africa,,2005,4137.917272
Africa,,2006,4108.038443
Africa,,2007,4148.625429
Africa,,2008,4302.81366
Africa,,2009,4269.15904
Africa,,2010,4296.283774
Africa,,2011,4201.564771
Africa,,2012,4237.31499
Africa,,2013,4239.018107
Africa,,2014,4255.66185
Africa,,2015,4207.0845
Africa,,2016,4208.473928
Africa,,2017,4195.585237
Africa,,2018,4222.128318
Africa,,2019,4219.738358
Europe,,1965,19466.40608
Europe,,1966,19895.86332
Europe,,1967,20336.66308
Europe,,1968,21552.50091
Europe,,1969,22972.2697
Europe,,1970,24312.41784
Europe,,1971,24812.89988
Europe,,1972,25838.19807
Europe,,1973,27160.60406
Europe,,1974,26628.32145
Europe,,1975,26212.47003
Europe,,1976,27559.33116
Europe,,1977,27875.97604
Europe,,1978,28804.21443
Europe,,1979,29739.95079
Europe,,1980,28868.08492
Europe,,1981,28002.30777
Europe,,1982,27364.64192
Europe,,1983,27507.07986
Europe,,1984,28110.13554
Europe,,1985,33482.84044
Europe,,1986,33911.90688
Europe,,1987,34459.57364
Europe,,1988,34685.98536
Europe,,1989,34435.10906
Europe,,1990,34654.82359
Europe,,1991,34062.54979
Europe,,1992,32984.01459
Europe,,1993,32274.41799
Europe,,1994,31547.97942
Europe,,1995,32142.54885
Europe,,1996,33025.65275
Europe,,1997,32877.02915
Europe,,1998,33224.50877
Europe,,1999,33094.19656
Europe,,2000,33489.1459
Europe,,2001,33870.55291
Europe,,2002,33699.93146
Europe,,2003,34267.1933
Europe,,2004,34716.95241
Europe,,2005,34826.5096
Europe,,2006,35067.03093
Europe,,2007,34674.24703
Europe,,2008,34434.14908
Europe,,2009,32334.61638
Europe,,2010,33453.87822
Europe,,2011,32623.49536
Europe,,2012,32435.43492
Europe,,2013,32043.33959
Europe,,2014,30743.90233
Europe,,2015,30942.90066
Europe,,2016,31313.70838
Europe,,2017,31584.44243
Europe,,2018,31541.63013
Europe,,2019,31159.83147
North America,,1965,73931.47888
North America,,1966,77256.26881
North America,,1967,79155.91082
North America,,1968,83203.26425
North America,,1969,86918.92102
North America,,1970,89330.87421
North America,,1971,90455.76217
North America,,1972,94492.22741
North America,,1973,97758.83442
North America,,1974,95170.2214
North America,,1975,92250.48057
North America,,1976,96439.58067
North America,,1977,98422.27543
North America,,1978,98346.10445
North America,,1979,99029.04394
North America,,1980,95527.4121
North America,,1981,92508.84411
North America,,1982,88223.07589
North America,,1983,86955.75457
North America,,1984,90798.18887
North America,,1985,90259.41738
North America,,1986,89748.19776
North America,,1987,91884.03594
North America,,1988,94935.60824
North America,,1989,96223.31688
North America,,1990,95486.8109
North America,,1991,94635.69125
North America,,1992,95229.10745
North America,,1993,96192.04192
North America,,1994,97342.43166
North America,,1995,98162.32378
North America,,1996,100203.4491
North America,,1997,99785.55742
North America,,1998,99166.38645
North America,,1999,99856.39351
North America,,2000,101186.9317
North America,,2001,97852.36969
North America,,2002,98611.81235
North America,,2003,98086.8727
North America,,2004,99223.89396
North America,,2005,98812.59219
North America,,2006,97255.74492
North America,,2007,97837.24159
North America,,2008,94986.04431
North America,,2009,89626.12909
North America,,2010,91669.43313
North America,,2011,90937.27011
North America,,2012,88214.227
North America,,2013,89782.63617
North America,,2014,89950.68432
North America,,2015,88562.99384
North America,,2016,87878.2885
North America,,2017,87748.43154
North America,,2018,89812.39693
North America,,2019,88336.8051